main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?
BBT-BBT,Thursday,2023-12-02 17:00:00,BBT,BANDUNG BUAH BATU,0 days 00:00:00,2023-12-02 17:00:00,BBT,BANDUNG BUAH BATU,70.0,0 days
BBT-BDRSTTA,Friday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,58.92857142857143,0 days
BBT-BDRSTTA,Friday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,51.5625,0 days
BBT-BDRSTTA,Friday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,61.206896551724135,0 days
BBT-BDRSTTA,Monday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,71.47435897435898,0 days
BBT-BDRSTTA,Monday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,73.21428571428571,0 days
BBT-BDRSTTA,Monday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,77.91666666666667,0 days
BBT-BDRSTTA,Monday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,62.5,0 days
BBT-BDRSTTA,Saturday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,51.25,0 days
BBT-BDRSTTA,Saturday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,55.357142857142854,0 days
BBT-BDRSTTA,Saturday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,69.23076923076923,0 days
BBT-BDRSTTA,Saturday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days
BBT-BDRSTTA,Saturday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,12.5,0 days
BBT-BDRSTTA,Sunday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,63.92857142857143,0 days
BBT-BDRSTTA,Sunday,2023-12-02 06:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 10:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days
BBT-BDRSTTA,Sunday,2023-12-02 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 11:30:00,BDRSTTA,BANDARA SOETTA,73.4375,0 days
BBT-BDRSTTA,Sunday,2023-12-02 08:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 12:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days
BBT-BDRSTTA,Sunday,2023-12-02 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 14:30:00,BDRSTTA,BANDARA SOETTA,87.16216216216216,0 days
BBT-BDRSTTA,Sunday,2023-12-02 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 17:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days
BBT-BDRSTTA,Sunday,2023-12-02 16:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 20:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days
BBT-BDRSTTA,Sunday,2023-12-02 21:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 01:30:00,BDRSTTA,BANDARA SOETTA,75.0,1 days
BBT-BDRSTTA,Thursday,2023-12-02 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-12-02 09:30:00,BDRSTTA,BANDARA SOETTA,47.5,0 days
